,parish,municipality,parish_old,matched_parish
54643,As,Kalmar lan ,As,As
54644,Hogsrum,Kalmar lan ,Hogsrum,Hogsrum
54653,Hossmo,Kalmar lan ,Hossmo,Hossmo
54654,Torsas,Kalmar lan ,Torsas,Torsas
54655,Ukna,Kalmar lan ,Ukna,Ukna
54665,Gladhammar,Kalmar lan ,Gladhammar,Gladhammar
54667,Frodinge,Kalmar lan ,Frodinge,Frodinge
54671,Fagerhult,Kalmar lan ,Fagerhult,Fagerhult
54677,Tuna,Kalmar lan ,Tuna,Tuna
54680,Gam- leby,Kalmar lan ,Gam- leby,Gamleby
