parish,county
Grödinge,Stockholms
Grolanda,Skaraborgs
Grönahög,Älvsborgs
Grönby,Skåne
Grötlingbo,Gotlands
Grovare,Älvsborgs
Grude,Älvsborgs
Grums,Värmlands
Grundsund,Västra Götalands
Grundsunda,Västernorrlands
Grycksbo kbfd,Dalarnas
Gryt,Kristianstads
Gryt,Södermanlands
Gryt,Östergötlands
Gryta,Uppsala
Gryteryd,Jönköpings
Grythyttan,Örebro
Grytnäs,Dalarnas
Gualöv,Kristianstads
Gudhem,Skaraborgs
Gudmundrå,Västernorrlands
Gudmuntorp,Skåne
Guldrupe,Gotlands
Guldsmedshyttan,Örebro
Gullabo,Kalmar
Gullarp,Skåne
Gullered,Älvsborgs
Gullholmen,Västra Götalands
Gumlösa,Kristianstads
Gunnared,Västra Götalands
Gunnarp,Hallands
Gunnarsbyn,Norrbottens
Gunnarsjö,Hallands
Gunnarskog,Värmlands
Gunnarsnäs,Älvsborgs
Gunnilbo,Västmanlands
Gustafs,Dalarnas
Gustav Adolf,Kristianstads
Gustav Adolf,Skaraborgs
Gustav Adolf,Värmlands
Gustav Adolf,Västernorrlands
Gustavsberg,Stockholms
Gustav Vasa,Stockholms
Gusums kbfd,Östergötlands
Gylle,Skåne
Gyllenfors kbfd,Jönköpings
hablingbo,Gotlands
habo,Skaraborgs
håbol,Älvsborgs
håbo-tibble,Stockholms
håby,Västra Götalands
hackås,Jämtlands
hacksta,Uppsala
håcksvik,Älvsborgs
hackvad,Örebro
haga,Västra Götalands
haga,Stockholms
hagby,Uppsala
hagby,Kalmar
hagebyhöga,Östergötlands
hagelberg,Skaraborgs
hägerstad,Östergötlands
hägersten,Stockholms
hägerstens östra kbfd,Stockholms
hägerstens västra kbfd,Stockholms
hagfors,Värmlands
häggdånger,Västernorrlands
häggeby,Uppsala
häggenäs,Skaraborgs
häggenås,Jämtlands
häggesled,Skaraborgs
häggum,Skaraborgs
häglinge,Kristianstads
hagrida,Jönköpings
hagshult,Jönköpings
hajom,Älvsborgs
håkantorp,Skaraborgs
hakarp,Jönköpings
hakkas,Norrbottens
hakkas kbfd,Norrbottens
hålanda,Älvsborgs
håle,Skaraborgs
håle-täng,Skaraborgs
hall,Gotlands
halla,Södermanlands
halla,Gotlands
hallaröd,Skåne
hällaryd,Blekinge
hallaryd,Kronobergs
hallby,Älvsborgs
hällby,Södermanlands
hälleberga,Kalmar
hällefors,Örebro
hallen,Jämtlands
hällesjö,Jämtlands
hällestad,Skåne
hällestad,Skaraborgs
hällestad,Östergötlands
hallingeberg,Kalmar
hallingebergs norra kbfd,Kalmar
